piloto,tiempo_vuelta,edad,experiencia,entrenamiento,sueno,pitstop,rendimiento_competencia
Andrea Kimi Antonelli,79.102,18,0,24.4,7.2,0,85.2
Charles Leclerc,77.265,27,7,20.5,9.3,0,100.0
Charles Leclerc,94.319,27,7,20.8,9.0,1,100.0
Oscar Piastri,77.096,24,2,24.8,8.8,0,97.88
Nico Hulkenberg,83.078,37,13,21.8,8.0,0,60.0
Valtteri Bottas,81.669,35,12,20.9,8.1,0,70.29
Valtteri Bottas,96.195,35,12,19.8,9.0,1,74.14
Oscar Piastri,95.831,24,2,24.3,8.8,1,99.63
Andrea Kimi Antonelli,79.499,18,0,25.1,8.1,0,84.52
Lewis Hamilton,101.671,40,18,17.2,9.4,1,60.0
George Russell,93.379,27,6,23.9,7.9,1,98.13
Liam Lawson,77.993,23,2,24.0,7.1,0,92.99
Sergio Perez,80.853,35,14,19.1,7.6,0,73.19
Max Verstappen,77.23,27,10,20.2,7.2,0,98.48
Valtteri Bottas,82.003,35,12,18.0,9.5,0,68.56
Oliver Bearman,78.758,20,1,24.4,8.6,0,89.58
Charles Leclerc,78.231,27,7,21.0,8.5,0,92.25
Max Verstappen,76.701,27,10,21.7,7.7,0,100.0
Lando Norris,96.566,25,6,23.5,8.0,1,100.0
Pierre Gasly,97.013,29,7,21.8,8.0,1,93.19
Liam Lawson,96.994,23,2,23.5,8.3,1,99.28
Alexander Albon,77.665,29,5,22.0,8.1,0,96.4
Lance Stroll,91.983,26,8,20.3,9.2,1,97.04
Lando Norris,77.134,25,6,23.2,8.4,0,99.2
Nico Hulkenberg,82.823,37,13,19.9,8.8,0,62.59
Pierre Gasly,78.575,29,7,22.4,7.9,0,89.32
Pierre Gasly,92.81,29,7,20.1,9.2,1,99.48
Valtteri Bottas,81.035,35,12,19.4,8.2,0,73.05
Oliver Bearman,78.713,20,1,25.4,8.3,0,86.23
Esteban Ocon,94.467,28,8,19.9,7.9,1,100.0
Kevin Magnussen,79.914,32,10,20.5,9.1,0,80.26
George Russell,77.034,27,6,21.9,7.5,0,98.39
Yuki Tsunoda,77.573,25,4,21.8,7.2,0,96.34
Oliver Bearman,77.235,20,1,25.4,8.9,0,97.61
Pierre Gasly,95.056,29,7,21.6,7.6,1,97.0
Lance Stroll,77.062,26,8,21.6,8.3,0,100.0
Liam Lawson,77.214,23,2,24.9,8.0,0,97.55
Carlos Sainz,77.857,30,10,18.9,7.8,0,93.41
Nico Hulkenberg,83.515,37,13,16.4,7.9,0,60.0
Lewis Hamilton,83.278,40,18,18.1,8.4,0,60.0
Oscar Piastri,77.006,24,2,22.7,8.4,0,100.0
Max Verstappen,76.694,27,10,19.8,9.1,0,99.0
Sergio Perez,97.017,35,14,17.2,8.0,1,70.81
Charles Leclerc,94.905,27,7,23.3,9.1,1,98.37
Lance Stroll,93.287,26,8,21.5,9.4,1,98.36
Max Verstappen,77.16,27,10,18.5,8.5,0,100.0
Charles Leclerc,77.399,27,7,19.8,7.9,0,100.0
Lewis Hamilton,82.885,40,18,17.0,7.6,0,60.0
